company_id,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,gemini_total_accepted,gpt5_total_accepted,claude_total_accepted,company_name,Total Headcount,max_headcount,max_population,Stage Reached,category,Organization Name
1314,1.0,1.0,0.0,,,,Polixir,10,True,False,,,Polixir
kmeleontech,2.0,1.0,0.0,,,,Kmeleon,10,True,False,,,Kmeleon
1415,1.0,0.0,0.0,,,,Royal Caliber,10,True,False,,,Royal Caliber
hyquest-consulting-solutions-llc,0.0,0.0,0.0,,,,HyQuest Consulting Solutions,9,False,False,,,HyQuest Consulting Solutions
rbc-group,0.0,0.0,0.0,,,,RBC Group,9,False,False,,,RBC Group
2049,0.0,0.0,0.0,,,,we-do.ai,9,False,False,,,we-do.ai
strong-analytics,3.0,1.0,1.0,1.0,2.0,1.0,Strong Analytics,9,False,False,,,Strong Analytics
muons-technology,0.0,0.0,0.0,,,,Muons Technology,8,False,False,,,Muons Technology
data-sleek,0.0,0.0,0.0,,,,Data-Sleek,8,False,False,,,Data-Sleek
courart-inform-tica-ltda,0.0,0.0,0.0,,,,Courart Informática,8,False,False,,,Courart Informática
thinking-machines-data-science,0.0,0.0,0.0,,,,Thinking Machines,8,False,False,,,Thinking Machines
ignous,0.0,0.0,0.0,,,,Ignous,8,False,False,,,Ignous
lukasa-llc,0.0,0.0,0.0,,,,Lukasa,8,False,False,,,Lukasa
gefatec-sistemas-software-e-consultoria,0.0,0.0,0.0,,,,Gefatec,7,False,False,,,Gefatec
1903,0.0,0.0,0.0,,,,H&W Consulting,7,False,False,,,H&W Consulting
1856,0.0,0.0,0.0,,,,數辰創藝科技股份有限公司,7,False,False,,,數辰創藝科技股份有限公司
digiwisehub,0.0,0.0,0.0,,,,Digiwise,7,False,False,,,Digiwise
609,0.0,0.0,0.0,,,,NEC Research Institute,7,False,False,,,NEC Research Institute
eigen-partners,0.0,0.0,0.0,,,,Eigen partners,7,False,False,,,Eigen partners
qexpert,0.0,0.0,0.0,,,,Qexpert,6,False,False,,,Qexpert
vertex-laboratories,0.0,0.0,0.0,,,,Vertex Laboratories,6,False,False,,,Vertex Laboratories
one-logic-gmbh,0.0,0.0,0.0,,,,ONE LOGIC,6,False,False,,,ONE LOGIC
springbok-ai,0.0,0.0,0.0,,,,Springbok AI,6,False,False,,,Springbok AI
information-workers-group,0.0,0.0,0.0,,,,Information Workers Group,6,False,False,,,Information Workers Group
toncent-information-technology-services-shenzhen-co--ltd,0.0,0.0,0.0,,,,Toncent Information Technology Service,6,False,False,,,Toncent Information Technology Service
new-outcome,0.0,0.0,0.0,,,,New Outcome,5,False,False,,,New Outcome
accordbgroup,7.0,0.0,0.0,2.0,1.0,,Accord Business Group,5,False,True,,,Accord Business Group
genia-latinoam%C3%A9rica,0.0,2.0,0.0,,,,GENIA,5,False,False,,,GENIA
pbq-oilfield-services,0.0,0.0,0.0,,,,PBQ Oilfield Services,5,False,False,,,PBQ Oilfield Services
arena-technologies,0.0,0.0,0.0,,,,Arena Technologies,5,False,False,,,Arena Technologies
tmltlabs,0.0,0.0,0.0,2.0,,,Tumult Labs,5,False,False,,,Tumult Labs
allogic-tecnologia,0.0,0.0,0.0,,,,Allogic Tecnologia,5,False,False,,,Allogic Tecnologia
azati-corporation,0.0,1.0,0.0,2.0,,,Azati Corporation,4,False,False,,,Azati Corporation
taristechnologies,0.0,0.0,0.0,,,,Taris Technologies,4,False,False,,,Taris Technologies
finolity,0.0,0.0,0.0,,,,Finolity Consultancy Services,4,False,False,,,Finolity Consultancy Services
iinumbers,0.0,1.0,0.0,,,,iiNumbers,4,False,False,,,iiNumbers
youneed-s.a.s,0.0,0.0,0.0,,,,YouNeeD,4,False,False,,,YouNeeD
hydromind-group,0.0,1.0,0.0,,,,HydroMind,4,False,False,,,HydroMind
it-consulting-gp,0.0,0.0,0.0,,,,IT Consulting Group,3,False,False,,,IT Consulting Group
solid-software-solutions,0.0,0.0,0.0,,,,Solid Software Solutions,3,False,False,,,Solid Software Solutions
flowplus-helping-you-work-smarter,0.0,0.0,0.0,,,,FlowPlus,3,False,False,,,FlowPlus
tqcs,0.0,0.0,0.0,,,,The Quantitative Consulting & Solutions,3,False,False,,,The Quantitative Consulting & Solutions
2142,0.0,0.0,0.0,,,,Downtown Consulting,3,False,False,,,Downtown Consulting
jdsc,0.0,0.0,0.0,4.0,,,Japan Data Science Consortium,3,False,False,,,Japan Data Science Consortium
xaigi-technology-inc,6.0,0.0,0.0,2.0,1.0,,Xaigi Technology,3,False,True,,,Xaigi Technology
aiqrate,0.0,0.0,0.0,,,,AIQRATE,3,False,False,,,AIQRATE
q-noon,0.0,0.0,0.0,,,,Q-Noon,3,False,False,,,Q-Noon
-.technology-sarl,0.0,0.0,0.0,,,,Technology,3,False,False,,,Technology
evergopartners,0.0,0.0,0.0,,,,Evergo,3,False,False,,,Evergo
sevn3-ai,0.0,0.0,0.0,,,,Sevn3.ai,2,False,False,,,Sevn3.ai
airesearchcorp,1.0,0.0,0.0,,,,AI Research,2,False,False,,,AI Research
amplient-labs,1.0,0.0,0.0,,,,Amplient Labs,2,False,False,,,Amplient Labs
2331,0.0,0.0,0.0,,,,Webpragma,2,False,False,,,Webpragma
elementai,0.0,0.0,0.0,,,,Element AI,2,False,False,,,Element AI
1966,0.0,0.0,0.0,,,,EXCEEDDATA,2,False,False,,,EXCEEDDATA
resileo-labs,0.0,0.0,0.0,,,,Resileo,2,False,False,,,Resileo
makesai,0.0,0.0,0.0,2.0,1.0,,Makes.ai,2,False,False,,,Makes.ai
data-cowboys-llc,0.0,0.0,0.0,,,,Data Cowboys,2,False,False,,,Data Cowboys
2439,0.0,0.0,0.0,,,,Exometrics,2,False,False,,,Exometrics
kantic-analytics,0.0,1.0,0.0,,,,Kantic Analytics,2,False,False,,,Kantic Analytics
aiso-lab,1.0,0.0,0.0,,,,aiso-lab,2,False,False,,,aiso-lab
2393,0.0,0.0,0.0,,,,Pathway Intelligence,2,False,False,,,Pathway Intelligence
albitech-consulting-oy,0.0,0.0,0.0,,,,Albitech Consulting,2,False,False,,,Albitech Consulting
linkup-studio,0.0,0.0,0.0,,,,LinkUp Studio,2,False,False,,,LinkUp Studio
stowe-research-international-inc,0.0,0.0,0.0,,,,Stowe Research International,2,False,False,,,Stowe Research International
inftech-gmbh,0.0,0.0,0.0,,,,Inftech,2,False,False,,,Inftech
hubthunder,0.0,0.0,0.0,,,,HubThunder,1,False,False,,,HubThunder
1396,0.0,0.0,0.0,,,,"Strategic Machine, Inc.",1,False,False,,,"Strategic Machine, Inc."
aitnco,0.0,0.0,0.0,,,,AITN,1,False,False,,,AITN
knowm-inc,0.0,0.0,0.0,,,,Knowm,1,False,False,,,Knowm
genysolutions,0.0,0.0,0.0,,,,Gen Y Solutions,1,False,False,,,Gen Y Solutions
ted-rpa-data,0.0,0.0,0.0,,,,TED Consulting,1,False,False,,,TED Consulting
2691,0.0,0.0,0.0,,,,Pttrner,1,False,False,,,Pttrner
developower-inc,0.0,0.0,0.0,,,,Developower,1,False,False,,,Developower
2163,0.0,0.0,0.0,,,,StatHack,1,False,False,,,StatHack
cantabpi,0.0,2.0,0.0,1.0,,,CantabPi,1,False,False,,,CantabPi
eoda-gmbh,0.0,0.0,0.0,,,,eoda,1,False,False,,,eoda
tarahai,0.0,0.0,0.0,,1.0,,Tarah AI,1,False,False,,,Tarah AI
exvy,1.0,0.0,0.0,,,,exvy,1,False,False,,,exvy
2319,0.0,0.0,0.0,,,,Intrinsic Algorithm,1,False,False,,,Intrinsic Algorithm
alexander-thamm-gmbh,1.0,0.0,0.0,17.0,7.0,2.0,Alexander Thamm,1,False,True,,,Alexander Thamm
numericube,0.0,0.0,0.0,,,,NUMERICUBE,1,False,False,,,NUMERICUBE
lipon-technologies,0.0,0.0,0.0,,,,Lipon Technologies,1,False,False,,,Lipon Technologies
chapelhilltech,0.0,0.0,0.0,,,,Chapel Hill Tech,1,False,False,,,Chapel Hill Tech
2470,0.0,0.0,0.0,,,,Rubentis,0,False,False,,,Rubentis
211,0.0,0.0,0.0,,,,Technologies,0,False,False,,,Technologies
2334,0.0,0.0,0.0,,,,ROA Intelligence,0,False,False,,,ROA Intelligence
geeks-data-consulting,0.0,0.0,0.0,,,,Geeks Data Consulting,0,False,False,,,Geeks Data Consulting
1770,0.0,0.0,0.0,,,,curious.ai,0,False,False,,,curious.ai
1824,0.0,0.0,0.0,,,,Xihu Xinchen,0,False,False,,,Xihu Xinchen
bit-addict,0.0,0.0,0.0,1.0,,,BitAddict AB,0,False,False,,,BitAddict AB
2016,0.0,0.0,0.0,,,,ANewD.ai,0,False,False,,,ANewD.ai
inavan,3.0,2.0,1.0,2.0,1.0,1.0,Inavan India Technologies,0,False,False,,,Inavan India Technologies
nivonexus,0.0,0.0,0.0,,,,NivoNexus,0,False,False,,,NivoNexus
redmaxx,0.0,0.0,0.0,,,,RedMaxx Consultoria,0,False,False,,,RedMaxx Consultoria
inttaocorp,0.0,0.0,0.0,,,,Inttao,0,False,False,,,Inttao
next%27s,0.0,0.0,0.0,,,,NeXT'S,0,False,False,,,NeXT'S
automators,0.0,0.0,0.0,,,,Automators GmbH,0,False,False,,,Automators GmbH
10801448,0.0,0.0,0.0,,,,Defour Analytics Pvt. Ltd.,0,False,False,,,Defour Analytics Pvt. Ltd.
argonaut-ai,0.0,0.0,0.0,,,,Argonaut AI,0,False,False,,,Argonaut AI
machinelearningsolutions,0.0,0.0,0.0,,,,Machine Learning Solutions,0,False,False,,,Machine Learning Solutions
2675,0.0,0.0,0.0,,,,Boostalgo,0,False,False,,,Boostalgo
1842,0.0,0.0,0.0,,,,AROUSAL Tech.,0,False,False,,,AROUSAL Tech.
spectra-analytics,0.0,0.0,0.0,,,,Spectra Analytics,0,False,False,,,Spectra Analytics
aritaweb-inc,0.0,0.0,0.0,,,,AritaWeb Inc.,0,False,False,,,AritaWeb Inc.
globe-geosolution-private-limited,0.0,0.0,0.0,,,,Globe Geosolution,0,False,False,,,Globe Geosolution
innovacio-technology,1.0,1.0,0.0,,,,Innovacio Technologies,0,False,False,,,Innovacio Technologies
%E5%90%88%E8%82%A5%E6%96%A1%E4%BA%BF%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,0.0,0.0,0.0,,,,Woyitech.com,0,False,False,,,Woyitech.com
rk-software-services-llc,0.0,0.0,0.0,,,,RK Software Services,0,False,False,,,RK Software Services
visual-it-solutions-pvt-ltd,1.0,0.0,0.0,,,,Visual IT Solutions,0,False,False,,,Visual IT Solutions
biz-conexi%C3%B3n-digital,0.0,0.0,0.0,,,,Biz Digital Connection,0,False,False,,,Biz Digital Connection
1275,0.0,0.0,0.0,,,,USC,0,False,False,,,USC
hatchworks,4.0,2.0,0.0,,,,HatchWorks,0,False,False,,,HatchWorks
%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%B7%E3%83%BC%E3%83%93%E3%83%BC%E3%82%A8%E3%82%B9%E3%83%AA%E3%82%B5%E3%83%BC%E3%83%81,0.0,0.0,0.0,,,,Computer Business System Research,0,False,False,,,Computer Business System Research
