id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90
51,TechAhead,3.5 (Other.Strong fit),1,,1,,TechAhead is a global leader in Mobile Platforms that is trusted by Fortune 500 companies to Startups.,"TechAhead is a premier provider of bespoke app development and UX design services, trusted by companies of all sizes - from Fortune 500 to startups. Since 2009, we have been delivering innovative and impactful solutions that have helped businesses and organizations across the globe. With a portfolio of over 2000 successful projects, we have a wealth of experience in delivering high-quality apps, digital products, and connected experiences that solve real-world problems. Our team of 240+ diverse professionals is the perfect blend of innovation and expertise. Our UX analysts based in Los Angeles are known for their cutting-edge ideas and meticulous attention to detail, while our programmers in India are leaders in creating advanced, futuristic solutions using the latest technologies. Together, we are a dynamic force that can bring your digital transformation to life. Let us help you achieve your business goals with our top-notch solutions.",,Manual Search + Network,https://www.crunchbase.com/organization/techahead,,Software,"Agoura Hills, California, United States",210948,"Greater Los Angeles Area, West Coast, Western US",day,,,,,For Profit,techahead,51,https://www.facebook.com/TechAhead,https://twitter.com/TechAhead,https://www.techaheadcorp.com,8183180727,sales@techaheadcorp.com,1607817,USD,1607817,,,38075.83,29710,3,Private,,,,,,,,,,,,,,,,101-250,1,Vikas Kaushik,Software,Active,,,,,,,,,6.0,2.0,0.0,14,310,281,281,0.0,280,280,0.0,279,278,1.0,,,True,True,"Agoura Hills, California, United States",310,TechAhead,,2009-12-23 00:00:00,Unknown,Unknown,0.0,0.0,0.0,1.599609375,0.0,1.0,4.0
858,Preferred Networks,"2.4

The description indicates that Preferred Networks (PFN) is primarily focused on developing practical applications of deep learning and conducting research across multiple domains (transportation, manufacturing, bio-healthcare, robotics, etc.). While they do create real-world applications, their broad focus on advancing deep learning technology across multiple fields, their exploration of fundamental areas like materials discovery, and their positioning as a technology developer rather than a service provider suggests they align more closely with category 2 (Pure AI Research). The 4 confidence score reflects a strong but not perfect fit, as they combine research with practical applications, positioning them somewhere between a pure research lab and a consultancy.",1,,1,,"Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.","Preferred Networks (PFN) was established in March 2014 in Tokyo with the goal to develop practical, real-world applications of deep learning, robotics and other latest technologies. PFN is currently focused on three priority areas – transportation systems, manufacturing and bio-healthcare – and also exploring the use of deep learning in personal robots, plant optimization, materials discovery, sports analytics and entertainment. PFN has a U.S. subsidiary in Burlingame, California.",,ML conferences affiliation data,https://www.crunchbase.com/organization/preferred-networks,,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning, Robotics, Software","Otemachi, Tokyo, Japan",13410,Asia-Pacific (APAC),day,,,,,For Profit,preferred-networks,858,https://www.facebook.com/PreferredNet/,https://x.com/preferrednet,https://www.preferred.jp,#ERROR!,dpo-office@preferred.jp,,,,13,210,48474.33,51290,11,Private,,,,,,,,,,,"Toyota Motor, MUFG Bank, Mizuho Bank, Mitsubishi Corporation, Sumitomo Mitsui Banking Corporation",3,21,10,,251-500,4,"Daisuke Okanohara, Morikawa Hiroyuki, Nishitoba Jiro, Toru Nishikawa","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",Active,,,4,4,1,1,,,49.0,72.0,24.0,260,303,224,179,45.0,224,152,72.0,224,118,106.0,,,True,True,"Otemachi, Tokyo, Japan",303,Preferred Networks,,2014-03-26 00:00:00,Unknown,Unknown,0.0,0.0,0.0,24.79296875,10.0,22.0,43.0
1702,Cloud Temple,"3.5 (Other.Strong fit)

The description clearly indicates Cloud Temple is focused on IT infrastructure services (transformation, hosting, and outsourcing) rather than ML consulting or AI research. It falls squarely in the ""Other"" category with a strong confidence score since it operates purely in traditional IT and cloud services domains with no mention of AI or machine learning capabilities.",1,,1,,"Cloud Temple specializes in transformation, IT hosting and outsourcing services.",,,ML conferences affiliation data,https://www.crunchbase.com/organization/cloud-temple,,"Cloud Infrastructure, Information Technology, Outsourcing","Nanterre, Ile-de-France, France",326629,"European Union (EU), Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,cloud-temple,1702,https://www.facebook.com/TheCloudTemple/,https://www.twitter.com/cloudtemple,https://www.cloud-temple.com/,,contact@cloud-temple.com,9807489,USD,9807489,2,0,,4853,7,Private,,,,,,,,,,,,,,,,101-250,,,"Hardware, Information Technology, Internet Services, Professional Services",Active,,,,,,,,,1.0,5.0,1.0,263,302,259,259,0.0,258,257,1.0,257,255,2.0,,,True,True,"Nanterre, Ile-de-France, France",302,Cloud Temple,,2017-02-09 00:00:00,Unknown,Unknown,0.0,0.0,0.0,1.6845703125,0.0,1.0,4.0
790,Beyond Limits,1.4 (ML Consultancy.Strong fit),1,1,,,"Beyond Limits is an industrial and enterprise-grade AI technology company that focuses on energy, utilities and healthcare.","Beyond Limits is an Industrial and Enterprise-grade AI technology company that covers the full range of Artificial Intelligence, purpose-built for the most demanding sectors, including energy, utilities, and healthcare (as well as finance).  Beyond traditional artificial intelligence, Beyond Limits has developed powerful Cognitive AI that unifies human knowledge with machine learning techniques. Its technology provides decision makers with efficient, reliable guidance and clear, understandable recommendations for everyday operational challenges to the most complex, mission-critical situations. Customers use Beyond Limits AI to drastically boost operational insights, improve operating conditions, enhance performance at every level, and ultimately increase profits as a result.",,ML conferences affiliation data,https://www.crunchbase.com/organization/beyond-limits,,"Artificial Intelligence (AI), Energy, Health Care, Industrial, Machine Learning","Glendale, California, United States",7273,"Greater Los Angeles Area, West Coast, Western US",month,,,,,For Profit,beyond-ai,790,https://www.facebook.com/BeyondLimitsAI/,https://twitter.com/beyondlimitsai,http://www.beyond.ai/,#ERROR!,sales@beyond.ai,1605348,USD,1605348,5,10,,5324,3,Private,,,,,,,,,2,Made Acquisitions,"G42, BP Ventures",2,2,3,Late Stage Venture,251-500,2,"AJ Abdallat, Mark James","Artificial Intelligence (AI), Data and Analytics, Energy, Health Care, Manufacturing, Science and Engineering, Software",Active,,,,,,,,,18.0,3.0,1.0,89,295,162,162,0.0,162,153,9.0,160,144,16.0,,,True,True,"Glendale, California, United States",295,Beyond Limits,,2014-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,7.423828125,3.0,7.0,12.0
66,Kyanon Digital,"3.4 (Other.Strong fit)

This company appears to be a general digital transformation company offering a wide range of technology services. While they mention AI and Machine Learning as part of their capabilities (under ""Build & Engage"" and ""Analyse & Augment"" sections), these are just components of their broader service portfolio rather than their primary focus. They don't seem to specialize specifically in ML consulting (Category 1) or conduct fundamental AI research (Category 2). Instead, they function as a comprehensive digital solutions provider with AI/ML as one of many tools in their toolkit. Therefore, Category 3 (Other) is the most appropriate classification with a strong confidence score of 4.",1,,1,,Kyanon Digital - Making Digital Impact that Matters,"Kyanon Digital is a Vietnam based leading Digital & Technology Company empowering businesses to achieve Growth and Impact through Completed Technology Solutions. We are a trusted partner to Make Digital Impact. It’s not only about Technology, it’s about the impact of business processes, ensuring happy customer experience and optimizing operations. Founded in 2012, Kyanon Digital is a dynamic and forward-thinking agile digital transformation partner. With over 13 years of experience, more than 500 experts across Vietnam and Singapore, and offices in Vietnam, Singapore, Thailand, Australia and Malaysia. Recognized 4 years in a row (2020–2024) by VINASA for excellence in digital transformation, e-commerce & logistics solutions, Kyanon Digital is also recognized regionally for innovation and impactful digital solutions at Asian Technology Excellence Award 2023. Our Five Core Services: 1. Strategise & Plan We help define technology goals, develop architectural strategies, and create roadmaps to guide digital transformation journeys. 2. Build & Engage Delivering high-quality, scalable solutions through custom software, web and mobile app development, AI, and Big Data, driven by agile methodologies and a human-centric design approach. 3. Integrate & Automate Enhancing efficiency through composable architecture, middleware integration, and secure, high-performance systems that automate and streamline workflows. 4. Analyse & Augment Empowering organizations with data-driven insights through advanced analytics, data warehousing, governance, and cutting-edge AI/GenAI solutions. 5. Operate & Support Providing ongoing support and optimization services, including data entry, content moderation, managed services, and tailored e-commerce support. Ready to Drive Real Digital Impact? Partner with Kyanon Digital to transform your business through strategy, technology, and innovation. Contact us today to get started!",,Manual Search + Network,https://www.crunchbase.com/organization/kyanon-digital,,"Artificial Intelligence (AI), Banking, Big Data, Fast-Moving Consumer Goods, Financial Services, Food and Beverage, Machine Learning, Marketing, Retail","Ho Chi Minh City, NA - Vietnam, Vietnam",259085,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",day,,,,,For Profit,kyanon,66,https://www.facebook.com/kyanon.digital/,https://twitter.com/kyanondigital,https://kyanon.digital/,(+84) 28 3517 1080,contact@kyanon.digital,,,,,,,12472,8,Private,,,,,,,,,,,,,,,,251-500,1,Tai Huynh,"Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Financial Services, Food and Beverage, Lending and Investments, Real Estate, Sales and Marketing, Science and Engineering, Software",Active,,,,,,,,,2.0,5.0,1.0,6,294,211,211,0.0,211,210,1.0,211,207,4.0,,,True,True,"Ho Chi Minh City, NA - Vietnam, Vietnam",294,Kyanon Digital,,2012-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,2.3837890625,0.0,2.0,5.0
888,LightOn,"1.4

The description clearly indicates that LightOn develops Foundation models and Large Language Models (LLMs) for enterprise applications, which aligns with category 1 (ML Consultancy). The company appears to be providing AI solutions and services to enterprises rather than conducting pure fundamental AI research. The strong focus on delivering GenAI to enterprise customers and the listed categories (AI, Data and Analytics, Science and Engineering, Software) further support this classification. I've assigned a confidence score of 4 (Strong fit) because while it clearly fits category 1, it may have some research components, though the enterprise focus is predominant.",1,1,,,LightOn delivers amazing GenAI ​to Enterprise,LightOn develops Foundation models or Large Language Models based AI to achieve unparalleled innovation and operational efficiency in the Enterprise.,,ML conferences affiliation data,https://www.crunchbase.com/organization/lighton,,"Artificial Intelligence (AI), Enterprise Software, Generative AI, Natural Language Processing","Paris, Ile-de-France, France",17700,"European Union (EU), Europe, Middle East, and Africa (EMEA)",month,2024-11-26,day,,,For Profit,lighton,888,,https://www.twitter.com/lightonio,http://www.lighton.ai,,contact@lighton.ai,,,,0,1,,9981,8,Public,2024-11-26,,,,,,,,,,"Quantonation, Anorak Ventures, CEA Investissement",,3,3,IPO,11-50,4,"Florent Krzakala, Igor Carron, Laurent Daudet, Sylvain Gigan","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Active,,,,,,,,,6.0,5.0,0.0,59,287,50,45,5.0,50,42,8.0,50,37,13.0,,,True,True,"Paris, Ile-de-France, France",287,LightOn,,2016-06-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,11.69140625,3.0,10.0,22.0
19,Silo.AI,1.5 (ML Consultancy.Perfect fit),1,1,,,"Silo.AI is a private AI lab developing AI-driven services for smart devices, autonomous vehicles, and smart cities.","Silo.AI is a private AI lab developing AI-driven services for smart devices, autonomous vehicles, and smart cities, serving the automotive, maritime, machinery, mining, aerospace, and other industries. It utilizes machine learning, computer vision, and natural language processing to help in the smooth operation of the business.",,Manual Search + Network,https://www.crunchbase.com/organization/silo-ai,,"Artificial Intelligence (AI), Information Technology, Machine Learning","Helsinki, Southern Finland, Finland",17000,"European Union (EU), Nordic Countries, Scandinavia",day,2024-07-10,day,,,For Profit,siloai,19,https://www.facebook.com/siloartificialintelligence,https://twitter.com/silo_ai,https://silo.ai,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+358 29 566 6777,dpo@silo.ai,563001,USD,563001,,,,549,10,Private,,Silo.AI acquired by AMD,https://www.crunchbase.com/acquisition/amd-acquires-silo-ai--c112b233,AMD,https://www.crunchbase.com/organization/amd,2024-07-10,day,Acquisition,2,"Made Acquisitions, Was Acquired","Altor, Business Finland",1,2,2,M&A,251-500,4,"Johan Kronberg, Peter Sarlin, Tero Ojanperä, Ville Hulkko","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Active,,,,,,,,,85.0,44.0,19.0,87,239,,,,,,,,,,,,True,True,"Helsinki, Southern Finland, Finland",239,Silo.AI,,2017-09-27 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
1143,QuantCo,1.4 (ML Consultancy.Strong fit),1,1,,,"QuantCo is a technology firm leverages expertise in data science, engineering, and economics to help organizations turn data into decisions.","QuantCo is a technology consulting firm that specializes in data science and engineering. They provide a range of services, including data analysis, machine learning, predictive modeling, and data visualization. QuantCo helps organizations to extract value from their data, improve decision-making, and gain a competitive advantage.",,ML conferences affiliation data,https://www.crunchbase.com/organization/quantco-707a,,"Big Data, Information Services, Information Technology","Boston, Massachusetts, United States",190844,"Greater Boston Area, East Coast, New England",year,,,,,For Profit,quantco,1143,,https://x.com/quantcotech,https://www.quantco.com/,#ERROR!,info@quantco.com,3322200,USD,3322200,0,0,,4333,13,Private,,,,,,,,,,,,,,,,101-250,1,Joseph Moon,"Data and Analytics, Information Technology",Active,,,,,,,,,58.0,30.0,14.0,202,237,207,184,23.0,207,170,37.0,206,148,58.0,,,True,True,"Boston, Massachusetts, United States",237,QuantCo,,2017-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,13.8427734375,7.0,13.0,22.0
1973,InFocusp,"1.5 (ML Consultancy.Perfect fit)

The description clearly indicates that InFoCusp is a company providing machine learning/deep learning services and solutions to industrial and commercial clients. They specifically mention machine learning, deep learning, and computer vision as their fields of expertise, and describe themselves as an AI and Software Engineering company. Their focus on making ""machines, devices, and computers act smarter"" for consumer product companies strongly aligns with the ML Consultancy category.",1,,1,,"InFoCusp's to make machines, devices, and computers act smarter. Its closely associated with R&D departments of consumer product companies.","InFoCusp is Artificial Intelligence and Software Engineering company and is dedicated to working on industrial and commercial projects in the fields of wearable computing, machine learning / deep learning, business intelligence, and computer vision.",,crunchbase search,https://www.crunchbase.com/organization/infocusp,,"Artificial Intelligence (AI), Consulting, Information Services, Information Technology, Machine Learning, Software Engineering","Ahmedabad, Gujarat, India",330219,Asia-Pacific (APAC),year,,,,,For Profit,infocusp,1973,https://www.facebook.com/InFoCuspOfficial,,https://infocusp.in,,info@infocusp.in,,,,,,,,2,Private,,,,,,,,,,,,,,,,51-100,1,Nisarg Vyas,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Active,,,,,,,,,38.0,17.0,8.0,3,228,215,213,2.0,215,198,17.0,215,185,30.0,,,True,True,"Ahmedabad, Gujarat, India",228,InFocusp,,2009-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,10.5625,6.0,10.0,16.0
47,LeewayHertz Technologies,1.4 (ML Consultancy.Strong fit),1,1,,,LeewayHertz is an AI-focused software development company empowering businesses with robust and scalable AI solutions.,"LeewayHertz is a leading software development company delivering tailor-made digital solutions to businesses worldwide. Our team of 250+ full-stack developers, designers and innovators has designed and developed 100+ digital solutions across industry verticals. As a close-knit team of AI and web3 experts, designers and full-stack developers, we undertake collaborative research and development to create next-gen applications and solutions perfectly suited to the evolving tech space. As a technology pioneer with deep knowledge and expertise in AI, blockchain and other advanced technologies like IoT, LeewayHertz believes in helping companies overcome their most complex tech challenges and drive business growth. Our motto, ‘You Dream It: We Build It,’ reflects our business philosophy. From putting flesh on your idea to delivering the expected end product, we do whatever it takes to make your project successful. Having worked with 30+ top fortune 500 companies and created various on-demand solutions, we boast an impressive work portfolio demonstrating our expertise.",,Manual Search + Network,https://www.crunchbase.com/organization/leewayhertz-technologies,,"Artificial Intelligence (AI), Augmented Reality, Blockchain, Cloud Computing, Information Technology, Internet of Things, Software, Virtual Reality, Web Development, Web3","San Francisco, California, United States",177275,"San Francisco Bay Area, West Coast, Western US",year,2024-09-16,day,,,For Profit,leewayhertz-technologies,47,https://www.facebook.com/LeewayHertz,https://twitter.com/leewayhertz,https://www.leewayhertz.com/,877-801-8115,info@leewayhertz.com,,,,,,68118.5,51708,44,Private,,LeewayHertz Technologies acquired by The Hackett Group,https://www.crunchbase.com/acquisition/the-hackett-group-acquires-leewayhertz-technologies--9ea8406a,The Hackett Group,https://www.crunchbase.com/organization/the-hackett-group,2024-09-16,day,Acquisition,,Was Acquired,,,,,M&A,101-250,1,Akash Takyar,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Science and Engineering, Software",Active,,,,,,,,,9.0,5.0,0.0,15,211,164,164,0.0,164,164,0.0,164,157,7.0,,,True,True,"San Francisco, California, United States",211,LeewayHertz Technologies,,2007-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,2.546875,0.0,2.0,5.0
49,AE Studio,1.4 (ML Consultancy.Strong fit),1,1,,,"AE Studio is a software firm that renders product design, software development, machine learning and data science services.","We are a development, data science, and design agency that works closely with founders and executives to build technology products that increase human agency. We provide full-service product design, development, and data science. We act as your CTO if you need one, or integrate with your team. Whatever you need tech wise, we can probably do it. We provide clean code that works, intelligent machine learning AI, user research and stunning UI, and many other things (oh my!).",,Manual Search + Network,https://www.crunchbase.com/organization/ae-studio,,"Artificial Intelligence (AI), Machine Learning, Smart Contracts, Software, Web Development","Los Angeles, California, United States",206554,"Greater Los Angeles Area, West Coast, Western US",year,,,,,For Profit,agency-enterprise-studio,49,https://www.facebook.com/agencyenterprise,https://twitter.com/AEStudioLA,https://ae.studio,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+1 424-231-4394,info@agencyenterprisestudio.com,270198,USD,270198,,,,16952,9,Private,,,,,,,,,,,,,,,,101-250,1,Judd Rosenblatt,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Science and Engineering, Software",Active,,,,,,,,,35.0,4.0,3.0,134,205,154,147,7.0,153,142,11.0,153,136,17.0,,,True,True,"Los Angeles, California, United States",205,AE Studio,,2016-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,4.16015625,1.0,4.0,8.0
379,XITASO,"3.5 (Other.Strong fit)

This company appears to be a general software and IT services firm that focuses on agile innovation methods, IT support, security, apps, and software development. There is no specific mention of machine learning services or fundamental AI research in the description, making it clearly fall into the ""Other"" category with a strong confidence score.",1,,1,,"XITASO is a software firm specializing in agile innovation methods,IT support & security including different services.",,,arxiv affiliation meta-data,https://www.crunchbase.com/organization/xitaso,,"Apps, Cyber Security, Information Technology, Software","Augsburg, Bayern, Germany",458105,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,xitasogmbh,379,https://www.facebook.com/XITASOGmbH,https://twitter.com/xitasogmbh,https://xitaso.com,#ERROR!,info@xitaso.com,1149720,USD,1149720,1,0,,5884,4,Private,,,,,,,,,,,,,,,,51-100,1,Ulrich Huggenberger,"Apps, Information Technology, Privacy and Security, Software",Active,,,,,,,,,5.0,12.0,2.0,147,198,149,147,2.0,148,143,5.0,148,138,10.0,,,True,True,"Augsburg, Bayern, Germany",198,XITASO,,2011-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,2.34765625,0.0,2.0,5.0
17,Upstage,"1.5 (ML Consultancy.Perfect fit)

The description clearly indicates that Upstage AI provides customized AI services to businesses, develops AI models based on client demands, and creates AI tools for automation and productivity enhancement. These activities perfectly align with the definition of an ML Consultancy that ""provides machine learning, deep learning, or reinforcement learning services/solutions.""",1,,1,,"Upstage develops artificial intelligence tools to automate tasks, enhance productivity, and provide decision support for various industries.","Upstage AI is a provider of customized AI services designed to help businesses with artificial intelligence. The company delivers AI models based on the demands of the business to address the customer's core activities while also improving the efficiency and progress of the business process, allowing clients to solve problems and meet the company's AI innovation goals.",,Manual Search + Network,https://www.crunchbase.com/organization/upstage-ai,,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Predictive Analytics, Software","Yongin, Ch'ungch'ong-namdo, South Korea",12046,Asia-Pacific (APAC),year,,,,,For Profit,upstageai,17,https://www.facebook.com/upstageai,https://twitter.com/upstageai,https://www.upstage.ai,,,,,,2,0,33667.5,27181,8,Private,,,,,,,,,,,"SBVA, Primer Sazze Partners, Premier Partners, Korea Development Bank, Shinhan Venture Investment",10,14,4,Early Stage Venture,101-250,3,"Hwalsuk Lee, Lucy Park, Sung Kim","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Active,,,,,,,,,16.0,23.0,7.0,35,187,131,112,19.0,132,105,27.0,131,85,46.0,,,True,True,"Yongin, Ch'ungch'ong-namdo, South Korea",187,Upstage,,2020-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,14.4287109375,7.0,13.0,23.0
707,Abacus.AI,1.5 (ML Consultancy.Perfect fit),1,1,,,Abacus.AI is the world's first AI-assisted data science and end-to-end MLOps platform,"Abacus.AI is an artificial intelligence research and cloud services company that helps organizations design, train, and operationalize machine and deep learning models. It allows organizations to plug and play deep learning systems into their existing customer experiences and business processes. The company was founded in 2019 and is based in San Francisco, California.",,ML conferences affiliation data,https://www.crunchbase.com/organization/realityengines,,"Artificial Intelligence (AI), Cloud Data Services, Information Technology, Machine Learning","San Francisco, California, United States",2250,"San Francisco Bay Area, West Coast, Western US",month,,,,,For Profit,abacusai,707,https://www.facebook.com/AbacusAI,https://twitter.com/abacusai,https://abacus.ai/,,contact@abacus.ai,,,,0,0,3273870.0,3975588,14,Private,,,,,,,,,,,"Khosla Ventures, Index Ventures, Coatue, Tiger Global Management, Decibel Partners",4,17,4,Late Stage Venture,101-250,3,"Arvind Sundararajan, Bindu Reddy, Siddartha Naidu","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Active,,,,,,,,,25.0,25.0,8.0,39,185,122,119,3.0,122,113,9.0,122,100,22.0,,,True,True,"San Francisco, California, United States",185,Abacus.AI,,2019-04-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,6.0576171875,2.0,6.0,10.0
35,Elder Research,"1.5 (ML Consultancy.Perfect fit)

The description clearly identifies Elder Research as a consulting company specializing in data science, predictive analytics, and advanced analytics. They partner with clients to develop custom analytical models and provide actionable solutions to real business problems, which perfectly aligns with the definition of an ML Consultancy (category 1).",1,,1,,"Elder Research, Inc. is a consulting company in data science, predictive analytics, and text mining.","Elder Research is a recognized leader in the science, practice, and technology of advanced analytics. We partner with commercial clients and government agencies to develop custom analytical models, powerful text mining tools, and data visualization to provide actionable solutions to real business problems.",,Manual Search + Network,https://www.crunchbase.com/organization/elder-research,,"Analytics, Consulting, Database, Information Technology, Training","Charlottesville, Virginia, United States",72695,"East Coast, Southern US",month,2011-05-18,day,,,For Profit,elder-research-inc-,35,,https://www.twitter.com/elderresearch,http://elderresearch.com/,4349737875,contact@elderresearch.com,2364150,USD,2364150,1,0,,3245,9,Private,,"Elder Research acquired by Mustard Seed Software, Inc.",https://www.crunchbase.com/acquisition/mustard-seed-software-inc-acquires-elder-research--db14f148,"Mustard Seed Software, Inc.",https://www.crunchbase.com/organization/mustard-seed-software-inc,2011-05-18,day,Acquihire,1,"Made Acquisitions, Was Acquired",,,,1,M&A,101-250,1,John Elder,"Data and Analytics, Education, Information Technology, Professional Services, Software",Active,,,1,1,,,,1,23.0,6.0,0.0,50,170,,,,,,,,,,,,True,True,"Charlottesville, Virginia, United States",170,Elder Research,,1995-08-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
1977,Aurizn,1.4 (ML Consultancy.Strong fit),1,1,,,"Aurizn is a technology solution provider, including AI, simulation and advanced sensing for the defence and enterprise sectors.","Aurizn is a technology solution provider, including AI, simulation and advanced sensing for the defence and enterprise sectors.",,crunchbase search,https://www.crunchbase.com/organization/aurizn,,"Aerospace, Artificial Intelligence (AI), Consulting","Adelaide, South Australia, Australia",337842,"Asia-Pacific (APAC), Australasia",year,,,,,For Profit,auriznco,1977,,,https://aurizn.co/,#ERROR!,info@aurizn.co,,,,,,,,5,Private,,,,,,,,,1,Made Acquisitions,Pemba Capital Partners,,1,1,,101-250,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,9.0,5.0,1.0,116,169,131,130,1.0,131,127,4.0,129,120,9.0,,,True,True,"Adelaide, South Australia, Australia",169,Aurizn,,2022-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,4.6396484375,2.0,4.0,8.0
60,Tooploox,"1.4

The description clearly indicates Tooploox is a software development company that provides ML/AI services to clients as part of their offerings. They explicitly mention ""Data Science/AI"" and ""Machine Learning"" as areas of expertise. This strongly fits category 1 (ML Consultancy) as they appear to provide machine learning solutions as a service to startups and larger firms. The confidence score of 4 (Strong fit) reflects that while they clearly offer ML consultancy services, they also offer other services like mobile development, web development, and product design, so they're not exclusively focused on ML.",1,1,,,"Tooploox is a software development studio specializing in artificial intelligence, mobile and web development.","Tooploox is a software development company based in Poland and focused on emerging technologies. The company helps startups and larger firms build great products that solve real-world problems. The team behind the company consists of over ninety passionate T-shaped people. Spread across the country, each being an expert in their respective domain. While – at the same time – being able to wear many hats as needed. This allows Tooploox to build beautiful, yet sophisticated cross-disciplinary solutions. All done in a transparent, interactive and agile way. The company can boast expertise and experience in Data Science/AI and Internet of Things, as well as mobile, front-end, back-end engineering, and product design.",,Manual Search + Network,https://www.crunchbase.com/organization/tooploox,,"Artificial Intelligence (AI), Blockchain, Machine Learning, Mobile Apps, Product Design, Robotics, Software, Software Engineering, Web Apps, Web Development","Wroclaw, Dolnoslaskie, Poland",238414,"European Union (EU), Europe, Middle East, and Africa (EMEA)",month,2025-06-04,day,,,For Profit,3157313,60,https://www.facebook.com/tooploox/,https://twitter.com/tooploox,https://www.tooploox.com,48733888088,hello@tooploox.com,2183293,USD,2183293,3,0,,4620,122,Private,,Tooploox acquired by Solvd,https://www.crunchbase.com/acquisition/solvd-0e11-acquires-tooploox--541a235d,Solvd,https://www.crunchbase.com/organization/solvd-0e11,2025-06-04,day,Acquisition,,Was Acquired,,,,,M&A,101-250,4,"Damian Walczak, Krzysztof Tarnowski, Paweł Sołyga, Wojtek Tarnawski","Apps, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Design, Hardware, Mobile, Other, Science and Engineering, Software",Active,,,,,,,,,12.0,19.0,1.0,19,163,,,,,,,,,,,,True,True,"Wroclaw, Dolnoslaskie, Poland",163,Tooploox,,2012-12-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
